 GeoStep   ADMPstep   Time, fs    SCF Energy, au   E-Ebeg,kcal/mol  E-E1,kcal/mol  EkinC(~T)     EkinP(A+B)    Ekin        Epot=Escf   Etot=Ekin+Epot  Etot-EkinP=EkinC+Epot  T,K    Connectivity, Rmax=  3.50
     176    1750      350.00      -1800.76412471       12.64       12.64           0.012064      0.000068      0.012132  -1800.764125  -1800.751992  -1800.752061            317.70       1     0.35000
     177    1760      352.00      -1800.76433467       12.51       12.51           0.012274      0.000068      0.012342  -1800.764335  -1800.751993  -1800.752060            323.24       1     0.35200
     178    1770      354.00      -1800.76458659       12.35       12.35           0.012520      0.000074      0.012594  -1800.764587  -1800.751993  -1800.752066            329.71       1     0.35400
     179    1780      356.00      -1800.76486728       12.18       12.18           0.012807      0.000068      0.012875  -1800.764867  -1800.751993  -1800.752060            337.26       1     0.35600
     180    1790      358.00      -1800.76518952       11.98       11.98           0.013121      0.000076      0.013197  -1800.765189  -1800.751992  -1800.752068            345.54       1     0.35800
     181    1800      360.00      -1800.76554620       11.75       11.75           0.013479      0.000075      0.013554  -1800.765546  -1800.751993  -1800.752068            354.95       1     0.36000
     182    1810      362.00      -1800.76593499       11.51       11.51           0.013869      0.000073      0.013942  -1800.765935  -1800.751993  -1800.752066            365.23       1     0.36200
     183    1820      364.00      -1800.76635820       11.24       11.24           0.014289      0.000077      0.014365  -1800.766358  -1800.751993  -1800.752070            376.28       1     0.36400
     184    1830      366.00      -1800.76680150       10.96       10.96           0.014732      0.000077      0.014809  -1800.766801  -1800.751993  -1800.752070            387.96       1     0.36600
     185    1840      368.00      -1800.76727251       10.67       10.67           0.015202      0.000078      0.015280  -1800.767272  -1800.751993  -1800.752070            400.34       1     0.36800
